Eigenvalue 0 = -3.81994
Eigenvector 0 =
 0 0 0.000283362
0 1 0.0903959
0 2 -0.228405
0 3 0.379301
0 4 -0.228405
0 5 0.0903959
1 1 -0.000360208
1 2 0.0903959
1 3 -0.347781
1 4 0.379301
1 5 -0.347781
2 2 0.000283362
2 3 0.0903959
2 4 -0.228405
2 5 0.379301
3 3 -0.000360208
3 4 0.0903959
3 5 -0.347781
4 4 0.000283362
4 5 0.0903959
5 5 -0.000360208


Eigenvalue 1 = -3.40603
Eigenvector 1 =
 0 0 0.000154568
0 1 -0.216235
0 2 0.370706
0 3 0.141847
0 4 -0.554502
0 5 0.268651
1 1 0.000686225
1 2 -0.128046
1 3 -0.112026
1 4 0.286097
1 5 0.0371323
2 2 -0.000466322
2 3 -0.03009
2 4 0.183796
2 5 -0.427943
3 3 0.00034023
3 4 -0.140604
3 5 0.0748938
4 4 0.000311755
4 5 0.246325
5 5 -0.00102645


Eigenvalue 2 = -3.40603
Eigenvector 2 =
 0 0 0.000449223
0 1 0.159588
0 2 -0.426256
0 3 0.412251
0 4 -0.107913
0 5 -0.00725026
1 1 -0.000789056
1 2 0.236284
1 3 -0.0218016
1 4 -0.328968
1 5 0.107918
2 3 -0.267059
2 4 0.534169
2 5 -0.0832829
3 3 0.000988816
3 4 -0.229033
3 5 -0.0861166
4 4 -0.000358471
4 5 0.107471
5 5 -0.00019976


Eigenvalue 3 = -2.5652
Eigenvector 3 =
 0 0 -0.00133323
0 1 0.343849
0 2 -0.118273
0 3 -0.0932334
0 4 -0.0137461
0 5 0.417829
1 1 -0.000430138
1 2 -0.128228
1 3 0.0490746
1 4 0.0835258
1 5 -0.471319
2 2 0.000138819
2 3 0.0489207
2 4 0.132019
2 5 0.00970764
3 3 0.00048013
3 4 -0.289601
3 5 0.422245
4 4 0.00119441
4 5 -0.392769


Eigenvalue 4 = -2.5652
Eigenvector 4 =
 0 0 0.000609448
0 1 -0.25501
0 2 -0.0841578
0 3 0.0426189
0 4 0.144507
0 5 -0.0931689
1 1 -0.000306066
1 2 0.408435
1 3 -0.5159
1 4 0.0594331
1 5 0.21545
2 2 -0.00145934
2 3 0.425286
2 4 -0.0603488
2 5 -0.102052
3 3 -0.000219477
3 4 -0.315266
3 5 0.30045
4 4 0.000849889
4 5 -0.170277
5 5 0.000525543


Eigenvalue 5 = -1
Eigenvector 5 =
 0 1 -0.408248
0 5 0.408248
1 2 0.408248
2 3 -0.408248
3 4 0.408248
4 5 -0.408248


Eigenvalue 6 = -0.63522
Eigenvector 6 =
 0 0 -0.00124328
0 1 0.333288
0 2 -0.031495
0 3 -0.302701
0 4 -0.031495
0 5 0.333288
1 1 -0.00133231
1 2 0.333288
1 3 -0.136193
1 4 -0.302701
1 5 -0.136193
2 2 -0.00124328
2 3 0.333288
2 4 -0.031495
2 5 -0.302701
3 3 -0.00133231
3 4 0.333288
3 5 -0.136193
4 4 -0.00124328
4 5 0.333288
5 5 -0.00133231


Eigenvalue 7 = 0.179429
Eigenvector 7 =
 0 0 0.00128748
0 1 -0.210766
0 2 -0.130851
0 3 -0.445534
0 4 -0.0870272
0 5 -0.278793
1 1 -0.000315404
1 2 0.36844
1 3 0.138601
1 4 0.267574
1 5 -0.346995
2 2 -0.000514258
2 3 -0.172894
2 4 0.217878
2 5 0.17796
3 3 0.000525176
3 4 -0.0896463
3 5 0.208394
4 4 -0.000773218
4 5 0.38366
5 5 -0.000209772


Eigenvalue 8 = 0.179429
Eigenvector 8 =
 0 0 -0.00014951
0 1 0.321327
0 2 -0.176037
0 3 0.0517385
